Target_Clade	Accession	RefSeq_Status	Coverage	N50	Genome_Size	TaxID	Organism_Name
Echinodermata	GCA_037976565.1	reference genome	200	359447	773163409	1328066	Mesocentrotus franciscanus
Echinodermata	GCA_000934455.1	reference genome	339	9587	873088235	1902835	Apostichopus parvimensis
Echinodermata	GCA_043643665.1	reference genome	114	2259232	1267624991	2692762	Ophiura sarsii vadicola
Echinodermata	GCA_025631205.1	reference genome	130	6777	597070271	2723955	Nesometra sesokonis
Echinodermata	GCA_051549935.1	reference genome	199.45	13658324	2289615330	2785214	Cercodemas anceps
Cephalochordata	GCF_000003815.2	reference genome	10.32	50413	513445848	7739	Branchiostoma floridae
Cephalochordata	GCF_035083965.1	reference genome	87.25	11195901	458287516	7740	Branchiostoma lanceolatum
Cephalochordata	GCF_001625305.1	reference genome	29.86	47280	426108443	7741	Branchiostoma belcheri
Urochordata	GCA_965202585.1	reference genome	80	12003043	801799274	34761	Thalia democratica
Urochordata	GCF_907165135.1	reference genome	222	4700139	64272340	34765	Oikopleura dioica
Urochordata	GCF_963082875.1	reference genome	156	5034709	129309972	431183	Corella eumyota
Urochordata	GCA_964656945.1	reference genome	129	9971324	189962550	395376	Phallusia fumigata
Urochordata	GCF_964204865.1	reference genome	75	17108000	376784849	7725	Styela clava
Urochordata	GCA_982130965.1	reference genome	74	9128188	202696769	62933	Botrylloides diegensis
Urochordata	GCF_051294905.1	reference genome	146	4368170	495547953	30301	Botryllus schlosseri
Urochordata	GCA_947561715.1	reference genome	74	11890000	196955708	38561	Ascidia mentula
Urochordata	GCA_965234635.1	reference genome	34	6987731	152230394	201963	Halocynthia papillosa
Urochordata	GCF_947623445.1	reference genome	117	8263119	210074726	159417	Clavelina lepadiformis
Urochordata	GCA_965643705.1	reference genome	104	31732028	829254971	516032	Didemnum vexillum
Urochordata	GCA_981692175.1	reference genome	247	2561150	446060772	1917237	Distaplia bermudensis
Urochordata	GCF_918807975.1	reference genome	65	14915238	605489456	2771288	Aplidium turbinatum
Urochordata	GCA_047324265.1	reference genome	283	196941	903291299	942553	Salpa aspera
Urochordata	GCF_018327825.1	reference genome	1352	2616636	140258035	7719	Ciona intestinalis
Urochordata	GCA_048173355.1	reference genome	175.53	982051	477708536	2851995	Perophora annectens
Urochordata	GCA_980750685.1	reference genome	95	1179622	152917314	2930585	Diazona violacea
Urochordata	GCA_979627895.1	reference genome	292	21196232	369481869	2057147	Botrylloides israeliense
Cyclostomata	GCA_056783735.1	reference genome	100.64	1450558	1996277198	7764	Eptatretus burgeri
Cyclostomata	GCA_041222605.1	reference genome	134	2770831	1888650646	7767	Eptatretus okinoseanus
Cyclostomata	GCA_035128595.1	reference genome	250	12689	2517612418	50612	Eptatretus atami
Cyclostomata	GCF_964187855.1	reference genome	30	739991	3057504053	7769	Myxine glutinosa
Cyclostomata	GCA_036362915.1	reference genome	90	11576	559983274	71168	Geotria australis
Cyclostomata	GCA_036362905.1	reference genome	400	8019	789044620	7755	Mordacia mordax
Cyclostomata	GCA_014621495.2	reference genome	43	19580	927744424	245074	Entosphenus tridentatus
Cyclostomata	GCF_965212315.1	reference genome	44	3005152	960362263	7750	Lampetra planeri
Cyclostomata	GCF_015708825.2	reference genome	96.13	1412731	1063012140	7753	Lethenteron reissneri
Cyclostomata	GCF_048934315.1	reference genome	44	4594409	1808332251	7757	Petromyzon marinus
Cyclostomata	GCA_056783725.1	reference genome	50.64	5931492	949764836	682880	Eudontomyzon morii
Cyclostomata	GCA_018977245.1	reference genome	87.8	1601692	1074727531	980415	Lethenteron camtschaticum
Chondrichthyes	GCA_035084275.1	reference genome	64	1059761	1003172678	7873	Hydrolagus colliei
Chondrichthyes	GCF_035084215.1	reference genome	60	4905566	3249915908	212740	Heptranchias perlo
Chondrichthyes	GCF_036365525.1	reference genome	35.7	3418954	6013048672	7792	Heterodontus francisci
Chondrichthyes	GCF_030684315.1	reference genome	48.69	6162596	3198515386	3053191	Stegostoma tigrinum
Chondrichthyes	GCF_028641065.1	reference genome	150	5310386	2190844947	7782	Leucoraja erinaceus
Chondrichthyes	GCA_963514005.1	reference genome	33	2048057	2700450552	223862	Raja brachyura
Chondrichthyes	GCA_035221665.1	reference genome	247.8	1743244	2756528269	432798	Okamejei kenojei
Chondrichthyes	GCA_977017645.1	reference genome	30	3050324	6221090334	7788	Torpedo marmorata
Chondrichthyes	GCF_044704955.1	reference genome	43.2	1893048	5923050865	55135	Pristiophorus japonicus
Chondrichthyes	GCF_963921235.1	reference genome	100	23327000	3475679493	723540	Mobula hypostoma
Chondrichthyes	GCF_030028105.1	reference genome	32	7300797	4014635230	1983395	Mobula birostris
Chondrichthyes	GCF_047496885.1	reference genome	34.5	3187150	6451259511	75743	Scyliorhinus torazame
Chondrichthyes	GCF_018977255.1	reference genome	68.84	1626615	991519186	7868	Callorhinchus milii
Euteleostomi	GCF_000001405.40	reference genome	na	57879411	3099441038	9606	Homo sapiens
Euteleostomi	GCF_000001635.27	reference genome	na	59462871	2728206152	10090	Mus musculus
Euteleostomi	GCF_016700215.2	reference genome	102.01	17744542	1050511239	9031	Gallus gallus
Euteleostomi	GCF_000004195.4	reference genome	111.5	14634335	1451283599	8364	Xenopus tropicalis
Euteleostomi	GCA_051020865.1	reference genome	101	16043130	342830278	99883	Tetraodon nigroviridis
Euteleostomi	GCF_040954835.1	reference genome	50.38	20019514	1200589847	7918	Lepisosteus oculatus
Euteleostomi	GCF_035594765.1	reference genome	35	26091274	1850740401	28377	Anolis carolinensis
Euteleostomi	GCF_037176945.1	reference genome	41.94	42076942	2947609019	7897	Latimeria chalumnae
Euteleostomi	GCF_016835505.1	reference genome	64	4528139	3673863536	55291	Polypterus senegalus
Euteleostomi	GCF_902713425.1	reference genome	61	8776027	1899794300	7906	Acipenser ruthenus
Teleostei	GCF_027409825.1	reference genome	49.19	4898551	828681152	13676	Scomber japonicus
Teleostei	GCF_024713975.1	reference genome	83	24354382	588170514	8255	Paralichthys olivaceus
